window_id,test_start,test_end,avg_return,win_rate,avg_ic
1,2024-04-09,2024-05-23,0.027305509042264996,0.8,0.01874909306227267
2,2024-05-24,2024-07-05,0.030784950759185723,0.8333333333333334,0.11339972192040768
3,2024-07-08,2024-08-16,0.024722906565740724,0.8333333333333334,0.0771668868659859
4,2024-08-19,2024-10-08,0.0429499888537385,0.7666666666666667,0.053065790264250734
5,2024-10-09,2024-11-19,0.043075386022573346,0.7666666666666667,0.09453979069092014
6,2024-11-20,2024-12-31,0.020606944816666594,0.7666666666666667,0.0757445036140746
7,2025-01-02,2025-02-20,0.04666867335694694,0.8666666666666667,0.18471092401292885
8,2025-02-21,2025-04-03,-0.006561254562445978,0.4666666666666667,-0.09718655450574093
9,2025-04-07,2025-05-21,0.04088703539747361,0.7333333333333333,0.16005159603091806
10,2025-05-22,2025-07-03,0.05797466477570641,0.9666666666666667,0.19388890580825477
11,2025-07-04,2025-08-14,0.06250039034161216,0.9333333333333333,0.13782012469579774
12,2025-08-15,2025-09-25,0.033437598634251296,0.8,0.1485573746034728
13,2025-09-26,2025-11-14,0.013311268267108989,0.6,-0.03148213391943926
14,2025-11-17,2025-12-26,0.012831029724138462,0.5333333333333333,0.08334345229280797
15,2025-12-29,2026-02-10,0.009472559106490188,0.6333333333333333,0.0358889934689889
